model,held_out,H,n_test,xmode_rate,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr
LR-instant,Monaco,1,36381,0.13314642258321652,0.9871872612649377,0.977763923524522,0.9966105990053533,0.9996465426019592,0.997823049814899
RF-instant,Monaco,1,36381,0.13314642258321652,0.9861657715921079,0.9759900218272529,0.996341521356963,0.999756446538999,0.9984571128478418
RF-lag,Monaco,1,36381,0.13314642258321652,0.9818551215593557,0.9684717712370378,0.9952384718816737,0.9995839105480208,0.9973326198750114
LR-instant,Monza,1,28598,0.5685012937967691,0.9818834285081982,0.9846517835476826,0.9791150734687138,0.9990430991908634,0.9992507806345282
RF-instant,Monza,1,28598,0.5685012937967691,0.9901120579698455,0.9915251644485238,0.9886989514911673,0.9994239988172885,0.9995632515973466
RF-lag,Monza,1,28598,0.5685012937967691,0.9833706034896651,0.9858494872341073,0.9808917197452229,0.9985689129879558,0.9988853236919117
LR-instant,Silverstone,1,23410,0.3893635198633063,0.9899839422242787,0.9877680873237892,0.9921997971247682,0.9995982775759662,0.9993742142778843
RF-instant,Silverstone,1,23410,0.3893635198633063,0.9921364196435595,0.990389367894997,0.993883471392122,0.99976329812391,0.9996341705132454
RF-lag,Silverstone,1,23410,0.3893635198633063,0.9824504116724762,0.9784044856492533,0.986496337695699,0.9993465256908298,0.9989593682523039
LR-instant,Suzuka,1,59223,0.3467909427080695,0.9860744955448644,0.9818831827624523,0.9902658083272765,0.9986450201106332,0.9964555992996217
RF-instant,Suzuka,1,59223,0.3467909427080695,0.9876074149227312,0.9838373052468087,0.9913775245986536,0.998694722284619,0.9978181494207158
RF-lag,Suzuka,1,59223,0.3467909427080695,0.9822325055533299,0.9767759229925673,0.9876890881140923,0.9975850544484176,0.9942999446996261
LR-instant,Monaco,5,36101,0.13417910861194982,0.9628229783648536,0.9359141510380102,0.989731805691697,0.9964993341078717,0.9677057459695085
RF-instant,Monaco,5,36101,0.13417910861194982,0.9529320809794494,0.9179763186221744,0.9878878433367243,0.9968282843701641,0.9784819894748832
RF-lag,Monaco,5,36101,0.13417910861194982,0.8424570793288884,0.7188264058679706,0.9660877527898062,0.9821966617710499,0.8945235471391456
LR-instant,Monza,5,28398,0.5654623565039791,0.9293202919236776,0.9431784725902373,0.9154621112571178,0.987309238411084,0.9895093615522654
