model,held_out,H,n_train,stopped_epoch,n_test,xmode_rate,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr
CNN,Monaco,10,,87,35751,0.135,0.784,0.6193,0.9486,0.811,0.5859
CNN,Monza,10,,100,28148,0.5616,0.7718,0.8381,0.7056,0.821,0.775
CNN,Silverstone,10,,100,23113,0.3838,0.8407,0.8257,0.8557,0.9556,0.9257
CNN,Suzuka,10,,100,58422,0.338,0.5936,0.3762,0.8111,0.6837,0.5617
GRU,Monaco,10,,100,35751,0.1351,0.4645,0.0051,0.924,0.7281,0.2526
GRU,Monza,10,,90,28148,0.5616,0.8741,0.9009,0.8474,0.8959,0.8871
GRU,Silverstone,10,,88,23113,0.3838,0.9194,0.9032,0.9356,0.9675,0.9071
GRU,Suzuka,10,,100,58422,0.338,0.8124,0.7401,0.8847,0.9165,0.8477
LSTM,Monaco,10,,96,35751,0.1351,0.7703,0.5942,0.9464,0.9265,0.6471
LSTM,Monza,10,,88,28148,0.5616,0.8322,0.8606,0.8038,0.8625,0.8027
LSTM,Silverstone,10,,100,23113,0.3838,0.8949,0.8765,0.9132,0.957,0.8865
LSTM,Suzuka,10,,98,58422,0.338,0.5282,0.2556,0.8008,0.7649,0.581
TCN,Monaco,10,,87,35751,0.1351,0.76,0.5719,0.9481,0.9439,0.7309
TCN,Monza,10,,100,28148,0.5616,0.8488,0.8807,0.8169,0.8902,0.8769
TCN,Silverstone,10,,98,23113,0.3838,0.9236,0.908,0.9392,0.9683,0.9205
TCN,Suzuka,10,,82,58422,0.338,0.6092,0.4089,0.8095,0.5374,0.4924
Transformer,Monaco,10,,89,35751,0.1351,0.8055,0.6603,0.9508,0.9561,0.69
Transformer,Monza,10,,100,28148,0.5616,0.8022,0.8478,0.7566,0.8711,0.8763
Transformer,Silverstone,10,,96,23113,0.3838,0.914,0.8963,0.9318,0.9609,0.882
Transformer,Suzuka,10,,93,58422,0.338,0.5955,0.3764,0.8147,0.8571,0.6851
