model,held_out,H,n_train,stopped_epoch,n_test,xmode_rate,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr
GRU,Monaco,1,,45,36381,0.1331,0.9801,0.9654,0.9948,0.9996,0.9975
GRU,Monza,1,,52,28598,0.5685,0.9828,0.9854,0.9802,0.9993,0.9994
GRU,Silverstone,1,,51,23410,0.3894,0.9877,0.985,0.9905,0.9994,0.999
GRU,Suzuka,1,,42,59223,0.3468,0.9865,0.9824,0.9906,0.9992,0.9984
GRU,Monaco,5,,77,36101,0.1342,0.8213,0.6794,0.9632,0.9894,0.9364
GRU,Monza,5,,94,28398,0.5655,0.9424,0.9525,0.9323,0.9777,0.9759
GRU,Silverstone,5,,73,23278,0.3872,0.9551,0.9449,0.9653,0.9907,0.9844
GRU,Suzuka,5,,59,58867,0.3428,0.9336,0.9116,0.9557,0.9873,0.9746
GRU,Monaco,10,,100,35751,0.1351,0.4645,0.0051,0.924,0.7281,0.2526
GRU,Monza,10,,90,28148,0.5616,0.8741,0.9009,0.8474,0.8959,0.8871
GRU,Silverstone,10,,88,23113,0.3838,0.9194,0.9032,0.9356,0.9675,0.9071
GRU,Suzuka,10,,100,58422,0.338,0.8124,0.7401,0.8847,0.9165,0.8477
GRU,Monaco,25,,94,34701,0.1193,0.515,0.1195,0.9104,0.6932,0.1784
GRU,Monza,25,,100,27398,0.5573,0.6167,0.6721,0.5612,0.6349,0.6668
GRU,Silverstone,25,,100,22618,0.3732,0.6768,0.6691,0.6845,0.8181,0.6936
GRU,Suzuka,25,,91,57087,0.3367,0.4095,0.067,0.752,0.5824,0.3508
GRU,Monaco,50,,100,32951,0.1001,0.5388,0.3015,0.776,0.8038,0.3252
GRU,Monza,50,,100,26148,0.5834,0.3547,0.3443,0.3651,0.2957,0.4495
GRU,Silverstone,50,,100,21793,0.3801,0.4661,0.544,0.3881,0.5653,0.3909
GRU,Suzuka,50,,100,54862,0.3504,0.3923,0.0649,0.7197,0.3557,0.2748
Transformer,Monaco,1,,47,36381,0.1331,0.9794,0.9642,0.9946,0.9995,0.997
Transformer,Monza,1,,45,28598,0.5685,0.9851,0.9873,0.9829,0.9995,0.9996
Transformer,Silverstone,1,,49,23410,0.3894,0.9864,0.9834,0.9895,0.9993,0.9989
Transformer,Suzuka,1,,47,59223,0.3468,0.9834,0.9784,0.9884,0.9991,0.9983
Transformer,Monaco,5,,52,36101,0.1342,0.9184,0.8569,0.98,0.9951,0.9592
Transformer,Monza,5,,66,28398,0.5655,0.9462,0.9557,0.9367,0.986,0.9874
Transformer,Silverstone,5,,70,23278,0.3872,0.9584,0.9489,0.968,0.9912,0.9721
Transformer,Suzuka,5,,67,58867,0.3428,0.8842,0.8397,0.9288,0.9758,0.9358
Transformer,Monaco,10,,89,35751,0.1351,0.8055,0.6603,0.9508,0.9561,0.69
Transformer,Monza,10,,100,28148,0.5616,0.8022,0.8478,0.7566,0.8711,0.8763
Transformer,Silverstone,10,,96,23113,0.3838,0.914,0.8963,0.9318,0.9609,0.882
Transformer,Suzuka,10,,93,58422,0.338,0.5955,0.3764,0.8147,0.8571,0.6851
Transformer,Monaco,25,,100,34701,0.1193,0.5023,0.0803,0.9243,0.7996,0.2521
Transformer,Monza,25,,100,27398,0.5573,0.5392,0.6015,0.4768,0.5593,0.585
Transformer,Silverstone,25,,76,22618,0.3732,0.6722,0.654,0.6904,0.7881,0.7007
Transformer,Suzuka,25,,78,57087,0.3367,0.4726,0.1711,0.774,0.6159,0.414
Transformer,Monaco,50,,100,32951,0.1001,0.5589,0.2446,0.8732,0.6919,0.158
Transformer,Monza,50,,100,26148,0.5834,0.4424,0.5056,0.3793,0.4312,0.5144
Transformer,Silverstone,50,,100,21793,0.3801,0.4352,0.5418,0.3285,0.6804,0.5859
Transformer,Suzuka,50,,89,54862,0.3504,0.3892,0.0636,0.7147,0.5744,0.3542
