model,held_out,H,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,detection_rate,mean_timing_err,false_toggle_rate,n_true_switches
LR-instant,Monaco,10,0.9111840427465075,0.848865554097131,0.973502531395884,0.9799889283812313,0.7653777988343994,0.827751858234054,0.9475482563097827,0.03947312326776755,0.893048128342246,1.625748502994012,1.2005347593582887,374
LR-instant,Monza,10,0.8732329235814438,0.9032628676470589,0.8432029795158287,0.9316599436348008,0.9225387840470264,0.772004706908694,0.8642799083327319,0.09983448473723983,0.5921985815602837,0.6317365269461078,0.5460992907801419,564
LR-instant,Silverstone,10,0.9348746213415141,0.921631456036496,0.9481177866465322,0.9701577436808961,0.9139878635303123,0.871460730485915,0.9411351633077591,0.052261296855131416,0.8333333333333334,0.5387096774193548,0.5403225806451613,372
LR-instant,Suzuka,10,0.9054284900228023,0.8789212072204914,0.9319357728251133,0.9684821826256289,0.9224222226242241,0.8148941865156232,0.9184326932669105,0.06610850755892195,0.7132262051915945,1.511265164644714,1.3757725587144622,809
RF-instant,Monaco,10,0.8106499275446982,0.6623678101624968,0.9589320449268997,0.9549615878636992,0.7319556300119975,0.6487775814805652,0.7601209706480754,0.05950978916860177,0.4385026737967914,2.292682926829268,0.4732620320855615,374
RF-instant,Monza,10,0.8939889635481717,0.9085114360704912,0.8794664910258522,0.9606236932944114,0.9637785846726957,0.7883300601813698,0.8926505628317771,0.07546538326652828,0.8297872340425532,1.061965811965812,1.3563829787234043,564
RF-instant,Silverstone,10,0.9331652265972846,0.9167001550031575,0.9496302981914118,0.9734879945574503,0.9436326051261127,0.866741867369899,0.9302050465383378,0.0523845850795647,0.8978494623655914,1.0419161676646707,0.41397849462365593,372
RF-instant,Suzuka,10,0.8041890468794343,0.7224654073268898,0.8859126864319787,0.9482987883268457,0.8409698285235729,0.6284347617419626,0.7855266414854654,0.10430171989546703,0.6069221260815822,0.9674134419551935,3.4215080346106306,809
XGBoost-instant,Monaco,10,0.8598066460487974,0.7535528596187175,0.9660604324788773,0.9686744189606782,0.7918134889752882,0.7264491729044031,0.8285116557711547,0.049212355213634304,0.6149732620320856,3.0565217391304347,0.8663101604278075,374
XGBoost-instant,Monza,10,0.8861084471224268,0.9068005531838134,0.8654163410610402,0.9266090267160546,0.9228786170033858,0.7786954751384152,0.8808545844296878,0.09386201797350223,0.6347517730496454,1.1145251396648044,0.5709219858156028,564
