model,seed,test_circuit,auc
CNN,42,Monaco,0.8291
CNN,42,Monza,0.907
CNN,42,Silverstone,0.9304
CNN,42,Suzuka,0.521
CNN,1,Monaco,0.8378
CNN,1,Monza,0.8966
CNN,1,Silverstone,0.9393
CNN,1,Suzuka,0.4106
CNN,2,Monaco,0.8643
CNN,2,Monza,0.7793
CNN,2,Silverstone,0.9443
CNN,2,Suzuka,0.4234
LSTM,42,Monaco,0.8805
LSTM,42,Monza,0.8735
LSTM,42,Silverstone,0.971
LSTM,42,Suzuka,0.7864
LSTM,1,Monaco,0.909
LSTM,1,Monza,0.8698
LSTM,1,Silverstone,0.9676
LSTM,1,Suzuka,0.8159
LSTM,2,Monaco,0.8838
LSTM,2,Monza,0.9066
LSTM,2,Silverstone,0.959
LSTM,2,Suzuka,0.7148
GRU,42,Monaco,0.867
GRU,42,Monza,0.9187
GRU,42,Silverstone,0.9756
GRU,42,Suzuka,0.8909
GRU,1,Monaco,0.8155
GRU,1,Monza,0.8875
GRU,1,Silverstone,0.9695
GRU,1,Suzuka,0.8556
GRU,2,Monaco,0.8648
GRU,2,Monza,0.9442
GRU,2,Silverstone,0.9643
GRU,2,Suzuka,0.89
TCN,42,Monaco,0.946
TCN,42,Monza,0.8851
TCN,42,Silverstone,0.9668
TCN,42,Suzuka,0.7089
TCN,1,Monaco,0.9414
TCN,1,Monza,0.8925
TCN,1,Silverstone,0.9668
TCN,1,Suzuka,0.739
TCN,2,Monaco,0.9318
TCN,2,Monza,0.8959
TCN,2,Silverstone,0.962
TCN,2,Suzuka,0.6388
Transformer,42,Monaco,0.9711
Transformer,42,Monza,0.8853
Transformer,42,Silverstone,0.9615
Transformer,42,Suzuka,0.8884
Transformer,1,Monaco,0.9652
Transformer,1,Monza,0.89
Transformer,1,Silverstone,0.962
Transformer,1,Suzuka,0.8754
Transformer,2,Monaco,0.9656
Transformer,2,Monza,0.9034
Transformer,2,Silverstone,0.9671
Transformer,2,Suzuka,0.8742
